"DeviceName","InfName","IsSigned","Manufacturer"
"Local Print Queue","printqueue.inf","TRUE","Microsoft"
"Local Print Queue","printqueue.inf","TRUE","Microsoft"
"Local Print Queue","printqueue.inf","TRUE","Microsoft"
"Local Print Queue","printqueue.inf","TRUE","Microsoft"
"Generic software device","c_swdevice.inf","TRUE","Microsoft"
"WAN Miniport (Network Monitor)","netrasa.inf","TRUE","Microsoft"
"WAN Miniport (IPv6)","netrasa.inf","TRUE","Microsoft"
"WAN Miniport (IP)","netrasa.inf","TRUE","Microsoft"
"WAN Miniport (PPPOE)","netrasa.inf","TRUE","Microsoft"
"WAN Miniport (PPTP)","netrasa.inf","TRUE","Microsoft"
"WAN Miniport (L2TP)","netrasa.inf","TRUE","Microsoft"
"WAN Miniport (IKEv2)","netavpna.inf","TRUE","Microsoft"
"WAN Miniport (SSTP)","netsstpa.inf","TRUE","Microsoft"
"Generic software device","c_swdevice.inf","TRUE","Microsoft"
"Generic software device","c_swdevice.inf","TRUE","Microsoft"
"Generic software device","c_swdevice.inf","TRUE","Microsoft"
"Generic software device","c_swdevice.inf","TRUE","Microsoft"
"Generic software device","c_swdevice.inf","TRUE","Microsoft"
"Remote Desktop Device Redirector Bus","rdpbus.inf","TRUE","Microsoft"
"Plug and Play Software Device Enumerator","swenum.inf","TRUE","(Standard system devices)"
"Microsoft System Management BIOS Driver","mssmbios.inf","TRUE","(Standard system devices)"
"NDIS Virtual Network Adapter Enumerator","ndisvirtualbus.inf","TRUE","Microsoft"
"Microsoft Basic Render Driver","basicrender.inf","TRUE","Microsoft"
"System Firmware 1.24.0","oem21.inf","TRUE","Dell, Inc."
"Microsoft UEFI-Compliant System","uefi.inf","TRUE","Microsoft"
"ACPI Fixed Feature Button","machine.inf","TRUE","(Standard system devices)"
"Trusted Platform Module 2.0","tpm.inf","TRUE","(Standard)"
"Motherboard resources","machine.inf","TRUE","(Standard system devices)"
"Intel(R) Dynamic Tuning Manager","oem38.inf","TRUE","Intel"
"HID-compliant system controller","input.inf","TRUE","(Standard system devices)"
"HID-compliant consumer control device","hidserv.inf","TRUE","Microsoft"
"HID Keyboard Device","keyboard.inf","TRUE","(Standard keyboards)"
"Converted Portable Device Control device","buttonconverter.inf","TRUE","Microsoft"
"Portable Device Control device","buttonconverter.inf","TRUE","Microsoft"
"HID-compliant vendor-defined device","input.inf","TRUE","(Standard system devices)"
"HID-compliant vendor-defined device","input.inf","TRUE","(Standard system devices)"
"HID-compliant vendor-defined device","input.inf","TRUE","(Standard system devices)"
"HID-compliant consumer control device","hidserv.inf","TRUE","Microsoft"
"HID-compliant consumer control device","hidserv.inf","TRUE","Microsoft"
"HID-compliant consumer control device","hidserv.inf","TRUE","Microsoft"
"HID-compliant consumer control device","hidserv.inf","TRUE","Microsoft"
"HID-compliant consumer control device","hidserv.inf","TRUE","Microsoft"
"HID-compliant consumer control device","hidserv.inf","TRUE","Microsoft"
"HID-compliant consumer control device","hidserv.inf","TRUE","Microsoft"
"HID-compliant consumer control device","hidserv.inf","TRUE","Microsoft"
"HID-compliant consumer control device","hidserv.inf","TRUE","Microsoft"
"HID-compliant system controller","input.inf","TRUE","(Standard system devices)"
"HID-compliant system controller","input.inf","TRUE","(Standard system devices)"
"HID-compliant system controller","input.inf","TRUE","(Standard system devices)"
"HID-compliant wireless radio controls","input.inf","TRUE","(Standard system devices)"
"HID Keyboard Device","keyboard.inf","TRUE","(Standard keyboards)"
"Intel(R) HID Event Filter","oem2.inf","TRUE","Intel(R) Corporation"
"Microsoft ACPI-Compliant Control Method Battery","cmbatt.inf","TRUE","Microsoft"
"Microsoft AC Adapter","cmbatt.inf","TRUE","Microsoft"
"ACPI Sleep Button","machine.inf","TRUE","(Standard system devices)"
"ACPI Power Button","machine.inf","TRUE","(Standard system devices)"
"ACPI Lid","machine.inf","TRUE","(Standard system devices)"
