
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0          8 K Unknown         NT AUTHORITY\SYSTEM                                     3:12:10 N/A                                                                     
System                           4 Services                   0      1,444 K Unknown         N/A                                                     0:01:26 N/A                                                                     
Registry                       124 Services                   0     77,904 K Unknown         N/A                                                     0:00:00 N/A                                                                     
smss.exe                       496 Services                   0        612 K Unknown         N/A                                                     0:00:00 N/A                                                                     
csrss.exe                      788 Services                   0      5,036 K Unknown         N/A                                                     0:00:00 N/A                                                                     
wininit.exe                    872 Services                   0      6,356 K Unknown         N/A                                                     0:00:00 N/A                                                                     
csrss.exe                      884 Console                    1      5,740 K Running         N/A                                                     0:00:08 N/A                                                                     
services.exe                   948 Services                   0     10,680 K Unknown         N/A                                                     0:00:03 N/A                                                                     
lsass.exe                      960 Services                   0     24,576 K Unknown         N/A                                                     0:00:03 N/A                                                                     
winlogon.exe                  1016 Console                    1     12,000 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1052 Services                   0     30,956 K Unknown         N/A                                                     0:00:04 N/A                                                                     
fontdrvhost.exe               1076 Console                    1      5,092 K Unknown         N/A                                                     0:00:00 N/A                                                                     
fontdrvhost.exe               1080 Services                   0      2,744 K Unknown         N/A                                                     0:00:00 N/A                                                                     
WUDFHost.exe                  1148 Services                   0      6,188 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1212 Services                   0     13,764 K Unknown         N/A                                                     0:00:08 N/A                                                                     
WUDFHost.exe                  1268 Services                   0     20,364 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   1276 Services                   0      7,972 K Unknown         N/A                                                     0:00:00 N/A                                                                     
dwm.exe                       1380 Console                    1    117,980 K Running         N/A                                                     0:02:26 DWM Notification Window                                                 
svchost.exe                   1532 Services                   0     15,052 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   1584 Services                   0     13,812 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1592 Services                   0      9,728 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1608 Services                   0     11,488 K Unknown         N/A                                                     0:00:00 N/A                                                                     
